
10:17:32 Aguarde ... Processando no servidor.
10:18:32 Recalculando seletividade do índice FK_TAB_IND_ECON_SERIE_IND                                                                    

10:18:32 Recalculando seletividade do índice PK_TAB_INDICADOR_ECONOMICO                                                                   

10:18:32 Recalculando seletividade do índice PK_TAB_AC_CONTRATO_HIST_ITEM                                                                 

10:18:32 Recalculando seletividade do índice FK_TAB_AC_CONT_HIST_ITEM_HIST                                                                

10:18:32 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_HIST_IT_A                                                                 

10:18:32 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_HIST_IT_T                                                                 

10:18:32 Recalculando seletividade do índice XPKSNFETNMSOL                                                                                

10:18:32 Recalculando seletividade do índice PK_TAB_OCORRENCIA_ONLINE                                                                     

10:18:32 Recalculando seletividade do índice PK_TAB_NF_CENTRO_CUSTO                                                                       

10:18:32 Recalculando seletividade do índice FK_TAB_CENTRO_CUSTO                                                                          

10:18:32 Recalculando seletividade do índice FK_TAB_NF                                                                                    

10:18:32 Recalculando seletividade do índice FK_TAB_NF_CENTRO_CUSTO_IDCTB                                                                 

10:18:32 Recalculando seletividade do índice PK_TAB_FORN_PROD_VERBA                                                                       

10:18:32 Recalculando seletividade do índice PK_TAB_PRODUTO_EXTRATO_SINT                                                                  

10:18:32 Recalculando seletividade do índice PK_TAB_INDICADOR_SERIE                                                                       

10:18:32 Recalculando seletividade do índice FK_TAB_IND_SERIE_IND                                                                         

10:18:32 Recalculando seletividade do índice PK_TIPO_FLUXO                                                                                

10:18:33 Recalculando seletividade do índice PK_TAB_INDICADOR                                                                             

10:18:33 Recalculando seletividade do índice PK_TAB_AC_CONTRATO_HISTORICO                                                                 

10:18:33 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_HIST_CONT                                                                 

10:18:33 Recalculando seletividade do índice PK_TAB_CONCORRENTE                                                                           

10:18:33 Recalculando seletividade do índice PK_TAB_PLANO_FECHAMENTO                                                                      

10:18:33 Recalculando seletividade do índice PK_TAB_CHAMADO_ANEXO                                                                         

10:18:33 Recalculando seletividade do índice FK_TAB_CHAMADO_ANEXO_1                                                                       

10:18:33 Recalculando seletividade do índice PK_TAB_CHAMADO                                                                               

10:18:33 Recalculando seletividade do índice PK_FORN_PROD_DECOMP                                                                          

10:18:33 Recalculando seletividade do índice FK_TAB_FORN_PROD                                                                             

10:18:33 Recalculando seletividade do índice PK_TAB_SGS_LOJA                                                                              

10:18:33 Recalculando seletividade do índice FK_SGS_LOJA                                                                                  

10:18:33 Recalculando seletividade do índice FK_SGS_LOJA_SUBG                                                                             

10:18:33 Recalculando seletividade do índice PK_TAB_LOG_ONLINE                                                                            

10:18:33 Recalculando seletividade do índice PK_TAB_INSTANCIA_ONLINE                                                                      

10:18:33 Recalculando seletividade do índice XPKSNFETMDFEF                                                                                

10:18:33 Recalculando seletividade do índice R_SNFETMDFE_SNFETMDFEF                                                                       

10:18:33 Recalculando seletividade do índice PK_TAB_REPASSE_NOTA_AC                                                                       

10:18:33 Recalculando seletividade do índice FK_TAB_REP_NOTA_AC                                                                           

10:18:33 Recalculando seletividade do índice PK_TAB_LOG_ATUALIZA                                                                          

10:18:33 Recalculando seletividade do índice PK_TAB_CRED_OUT_SAIDA                                                                        

10:18:33 Recalculando seletividade do índice FK_TAB_CRED_OUT_SAIDA                                                                        

10:18:33 Recalculando seletividade do índice PK_TAB_CRED_OUT_ENT                                                                          

10:18:33 Recalculando seletividade do índice FK_TAB_CRED_OUT_ENT                                                                          

10:18:33 Recalculando seletividade do índice PK_TAB_CRED_OUTORGADO                                                                        

10:18:33 Recalculando seletividade do índice XPKSNFETMDFEI                                                                                

10:18:33 Recalculando seletividade do índice XIE1SNFETMDFEI                                                                               

10:18:33 Recalculando seletividade do índice R_SNFETMDFE_SNFETMDFEI                                                                       

10:18:33 Recalculando seletividade do índice XPKSNFETMDFE                                                                                 

10:18:33 Recalculando seletividade do índice R_SNFETE_SNFETMDFE_E                                                                         

10:18:33 Recalculando seletividade do índice PK_TAB_ONLINE_TITULO                                                                         

10:18:33 Recalculando seletividade do índice PK_SNFETFF                                                                                   

10:18:33 Recalculando seletividade do índice XPKSNFETSATVI                                                                                

10:18:33 Recalculando seletividade do índice R_SNFETSATV_SNFETSATVI                                                                       

10:18:33 Recalculando seletividade do índice XPKSNFETSATV                                                                                 

10:18:33 Recalculando seletividade do índice PK_SNFETGER                                                                                  

10:18:33 Recalculando seletividade do índice PK_TAB_CN_FORNECEDOR                                                                         

10:18:33 Recalculando seletividade do índice PK_SNFETRBT                                                                                  

10:18:33 Recalculando seletividade do índice R_SNFETNFC_SNFETNFCF                                                                         

10:18:33 Recalculando seletividade do índice XPKSNFETNFCF                                                                                 

10:18:33 Recalculando seletividade do índice XPKSNFETNFCI                                                                                 

10:18:33 Recalculando seletividade do índice R_SNFETNFC_SNFETNFCI                                                                         

10:18:33 Recalculando seletividade do índice IDX_SNFETNFCI                                                                                

10:18:33 Recalculando seletividade do índice IDX_SNFETNFCI2                                                                               

10:18:33 Recalculando seletividade do índice PK_TAB_REPASSE_FORN_AC                                                                       

10:18:33 Recalculando seletividade do índice FK_TAB_REP_FORN_AC                                                                           

10:18:33 Recalculando seletividade do índice PK_TAB_SALDO_INICIAL_ANT                                                                     

10:18:33 Recalculando seletividade do índice FK_TAB_SALDO_INI_ANT_CONTA                                                                   

10:18:33 Recalculando seletividade do índice FK_TAB_SALDO_INI_ANT_CTA_ATUAL                                                               

10:18:33 Recalculando seletividade do índice FK_TAB_SALDO_INI_ANT_LOJA                                                                    

10:18:33 Recalculando seletividade do índice XPKSNFETNFC                                                                                  

10:18:33 Recalculando seletividade do índice XIE1SNFETNFC                                                                                 

10:18:33 Recalculando seletividade do índice XIE2SNFETNFC                                                                                 

10:18:33 Recalculando seletividade do índice R_SNFETE_SNFETNFC_E                                                                          

10:18:33 Recalculando seletividade do índice PK_TAB_PLANO_CONTA_ANT                                                                       

10:18:33 Recalculando seletividade do índice PK_FORNECEDOR_PRODUTO_ASSOC                                                                  

10:18:33 Recalculando seletividade do índice TAB_FORNECEDOR_PROD_ASS_IDX1                                                                 

